espnId,player,position,team
a-dalton,A.Dalton,QB,
a-richardson,A.Richardson,QB,
a-rodgers,A.Rodgers,QB,
b-mayfield,B.Mayfield,QB,
b-nix,B.Nix,QB,
b-purdy,B.Purdy,QB,
b-rypien,B.Rypien,QB,
b-young,B.Young,QB,
c-akers,C.Akers,RB,
c-kupp,C.Kupp,WR,
c-olave,C.Olave,WR,
c-rush,C.Rush,QB,
c-stroud,C.Stroud,QB,
c-ward,C.Ward,QB,
c-wentz,C.Wentz,QB,
c-williams,C.Williams,QB,
d-gabriel,D.Gabriel,QB,
d-henry,D.Henry,RB,
d-jones,D.Jones,QB,
d-lock,D.Lock,QB,
d-maye,D.Maye,QB,
d-mills,D.Mills,QB,
d-montgomery,D.Montgomery,RB,
d-prescott,D.Prescott,QB,
g-smith,G.Smith,QB,
j-allen,J.Allen,QB,
j-brissett,J.Brissett,QB,
j-browning,J.Browning,QB,
j-burrow,J.Burrow,QB,
j-daniels,J.Daniels,QB,
j-dart,J.Dart,QB,
j-dobbs,J.Dobbs,QB,
j-fields,J.Fields,QB,
j-flacco,J.Flacco,QB,
j-goff,J.Goff,QB,
j-herbert,J.Herbert,QB,
j-hurts,J.Hurts,QB,
j-karty,J.Karty,K,
j-love,J.Love,QB,
j-mccarthy,J.Mccarthy,QB,
j-milton,J.Milton,QB,
j-waddle,J.Waddle,QB,
k-cousins,K.Cousins,QB,
k-murray,K.Murray,QB,
k-pickett,K.Pickett,QB,
l-jackson,L.Jackson,QB,
m-brosmer,M.Brosmer,QB,
m-jones,M.Jones,QB,
m-mariota,M.Mariota,QB,
m-penix,M.Penix,QB,
m-rudolph,M.Rudolph,QB,
m-stafford,M.Stafford,QB,
m-trubisky,M.Trubisky,QB,
p-mahomes,P.Mahomes,QB,
q-ewers,Q.Ewers,QB,
r-wilson,R.Wilson,QB,
s-darnold,S.Darnold,QB,
s-rattler,S.Rattler,QB,
t-bagent,T.Bagent,QB,
t-hill,T.Hill,QB,
t-huntley,T.Huntley,QB,
t-lance,T.Lance,QB,
t-lawrence,T.Lawrence,QB,
t-shough,T.Shough,QB,
t-tagovailoa,T.Tagovailoa,QB,
t-taylor,T.Taylor,QB,
t-warren,T.Warren,TE,
z-wilson,Z.Wilson,QB,